#  time, acc(x, y, z), gyro(x, y, z)
8.980110, -8.954314, -0.086191, 1.177947, -0.496413, 0.006392, 0.057524
8.983887, -9.011775, -0.086191, 1.235408, -0.533697, 0.003196, 0.045806
8.987553, -9.030929, -0.134075, 1.302446, -0.559264, 0.001065, 0.046872
8.991745, -9.136273, -0.086191, 1.359907, -0.563525, -0.001065, 0.054328
9.000149, -9.145850, -0.076614, 1.513135, -0.563525, -0.019175, 0.057524
9.003885, -9.260772, -0.057461, 1.551443, -0.545415, -0.033023, 0.074569
9.007563, -9.279925, -0.028730, 1.647211, -0.533697, -0.057524, 0.088417
9.011539, -9.279925, -0.009577, 1.714248, -0.511327, -0.079895, 0.108657
9.019934, -9.107543, 0.076614, 1.848324, -0.487891, -0.094809, 0.124636
9.023837, -9.088389, 0.134075, 1.924938, -0.463390, -0.100135, 0.128897
9.027594, -9.088389, 0.153229, 1.991976, -0.447411, -0.110788, 0.134223
9.031650, -9.088389, 0.229843, 2.049437, -0.422910, -0.105461, 0.129962
9.040100, -9.078813, 0.306458, 2.145205, -0.404800, -0.090547, 0.123571
9.043820, -9.088389, 0.325611, 2.135628, -0.397344, -0.078830, 0.127832
9.047493, -9.107543, 0.344765, 2.173935, -0.378169, -0.052198, 0.111853
9.051678, -9.107543, 0.383072, 2.164358, -0.362190, -0.024501, 0.102265
9.060083, -9.184157, 0.392649, 2.173935, -0.343015, -0.006392, 0.093743
9.063811, -9.222465, 0.411803, 2.164358, -0.330232, 0.022371, 0.091613
9.067430, -9.308656, 0.430956, 2.116474, -0.303600, 0.054328, 0.085221
9.071647, -9.308656, 0.411803, 2.126051, -0.283360, 0.070307, 0.092678
9.079841, -9.289502, 0.450110, 2.068590, -0.256729, 0.095874, 0.095874
9.083770, -9.299079, 0.497994, 2.087744, -0.234358, 0.125701, 0.094809
9.087424, -9.299079, 0.478840, 2.049437, -0.218379, 0.150202, 0.087352
9.091583, -9.327810, 0.469264, 1.991976, -0.192813, 0.177899, 0.094809
9.100029, -9.222465, 0.507571, 1.972822, -0.156594, 0.206661, 0.096939
9.104000, -9.260772, 0.478840, 1.877054, -0.123571, 0.236489, 0.095874
9.107631, -9.222465, 0.555455, 1.771709, -0.102265, 0.267381, 0.109722
9.111585, -9.126697, 0.622492, 1.599327, -0.071373, 0.295078, 0.094809
9.119993, -8.858546, 0.718261, 1.292869, -0.055394, 0.304666, 0.074569
9.123713, -8.829816, 0.823605, 1.158794, -0.046872, 0.312122, 0.047937
9.127384, -8.772355, 0.823605, 1.024718, -0.039415, 0.314253, 0.015979
9.131561, -8.810662, 0.842759, 0.852336, -0.041545, 0.312122, -0.025566
9.139774, -8.877700, 0.842759, 0.699107, -0.064981, 0.303600, -0.060720
9.143707, -8.877700, 0.833182, 0.632069, -0.076699, 0.292948, -0.091613
9.147523, -8.877700, 0.804452, 0.555455, -0.093743, 0.284426, -0.126766
9.151569, -8.877700, 0.746991, 0.555455, -0.110788, 0.272708, -0.148072
9.159740, -8.954314, 0.660800, 0.651223, -0.133158, 0.267381, -0.187487
9.163863, -8.983045, 0.593762, 0.689530, -0.145941, 0.272708, -0.204531
9.167533, -9.021352, 0.536301, 0.775721, -0.148072, 0.269512, -0.223706
9.171524, -9.021352, 0.440533, 0.833182, -0.156594, 0.284426, -0.234358
9.179728, -9.050082, 0.239420, 1.005565, -0.136354, 0.296144, -0.245011
9.183850, -9.126697, 0.153229, 1.063026, -0.101200, 0.309992, -0.248207
9.187509, -9.184157, 0.047884, 1.053449, -0.069242, 0.319579, -0.233293
9.191541, -9.193734, -0.047884, 1.082179, -0.021305, 0.319579, -0.218379
9.199883, -9.232041, -0.143652, 0.938527, 0.024501, 0.308927, -0.198139
9.203617, -9.155427, -0.210690, 0.861913, 0.078830, 0.287621, -0.170442
9.207280, -9.117120, -0.258574, 0.737414, 0.121440, 0.266316, -0.162985
9.211495, -9.078813, -0.239420, 0.603339, 0.150202, 0.232228, -0.148072
9.219872, -9.107543, -0.258574, 0.411803, 0.180030, 0.206661, -0.147006
9.223597, -9.078813, -0.277727, 0.277727, 0.184291, 0.173638, -0.138484
9.227278, -9.059659, -0.277727, 0.220267, 0.175769, 0.134223, -0.129962
9.231472, -9.050082, -0.306458, 0.124498, 0.153398, 0.111853, -0.125701
9.239578, -8.954314, -0.296881, 0.143652, 0.126766, 0.105461, -0.122505
9.243752, -8.925584, -0.306458, 0.172383, 0.082025, 0.102265, -0.126766
9.247420, -8.935161, -0.268151, 0.220267, 0.051133, 0.098004, -0.127832
9.251477, -8.983045, -0.268151, 0.296881, 0.015979, 0.098004, -0.133158
9.259617, -9.050082, -0.258574, 0.507571, -0.005326, 0.099070, -0.127832
9.263544, -9.021352, -0.220267, 0.612916, -0.027697, 0.102265, -0.128897
9.267349, -9.011775, -0.229843, 0.699107, -0.019175, 0.103331, -0.126766
